anio,hombres,mujeres
"1997","328","251"
"1998","369","292"
"1999","318","281"
"2000","317","305"
"2001","313","326"
"2002","337","287"
"2003","354","324"
"2004","336","305"
"2005","383","294"
"2006","357","332"
"2007","363","274"
"2008","387","311"
"2009","373","329"
"2010","349","336"
"2011","391","327"
"2012","377","336"
"2013","324","286"
"2014","338","332"
"2015","320","274"
"2016","352","320"
"2017","406","328"
"2018","350","335"
"2019","370","325"
"2020","410","367"
"2021","371","372"
"2022","325","313"
